페이지	키워드	제목	NEWS_URL | MEDIA_URL
320	유로 2016	[A매치 포커스] 유로 첫 정상 노리는 잉글랜드, 공격 조합 '글쎄'	[인터풋볼] 이현민 기자=  본선을 앞둔 잉글랜드가 공격 조합 고민을 안게 됐다. 잉글랜드는 3일 오전 3시 45분(한국시간) 영국 런던 웸블리 스타디움에서 포르투갈과 친선전을 가졌다. 결과는 크리스 스몰링의...
320	유로 2016	'PSG행 일축' 아자르 동점골, 벨기에 3연속 무패 유로2016 예열완료	[스포츠Q(큐) 안호근 기자] 에당 아자르(25ㆍ첼시)의 동점골에 힘입은 벨기에가 노르웨이를 잡고 유럽축구선수권() 의 청신호를 밝혔다. 국제축구연맹(FIFA) 2위 벨기에는 6일 오전(한국시간) 벨기에 브뤼셀의 킹...
320	유로 2016	[유로2016 D-1] ③ 마케팅전쟁도 점화, '5연속 우승' 아디다스의 응전-나이키의 도전	영국 일간지 데일리메일은 10일(한국시간) 나이키와 아디다스가 에서 펼칠 경쟁을 예상했다. 개인 마케팅, 팀 유니폼 노출, 소셜 네트워크 서비스(SNS) 마케팅 등 3가지 항목으로 나눠 분석했다. 개인 마케팅...
320	유로 2016	유로2016 프랑스,우승후보 자격 증명할까?	사진= 공식 트위터 전세계 축구팬들의 밤잠을 설치게 할 이 드디어 개막을 앞두고 있다. 특히 이번 대회는 기존 16개국이 참가하던 방식에서 24개국으로 늘어나며 더욱 치열한 경쟁이 예상된다. 개최국...
320	유로 2016	[오피셜] 전차군단 독일, 유로 2016 최종 명단 발표...외질 발탁-로이스 제외	[인터풋볼] 정지훈 기자= 요아힘 뢰브 감독이 지휘하는 '전차군단' 독일이 에 출전하는 최종 명단을 확정했다. 독일 축구 대표팀의 뢰브 감독은 31일 기자회견을 통해 에 나설 최종 명단을 공개했다. 앞서...
321	유로 2016	[유로 FOCUS] 논란의 잉글랜드, 화두는 '부상'과 '경험'	로이 호지슨 잉글랜드대표팀 감독은 지난 5월 31일(한국 시간) '유럽축구연맹(UEFA) '에 나설 23명의 명단을 공개했다. 명단 발표 일정을 미루면서까지 고심한 구성이다. 그러나 후폭풍이 크다. 선수 면면에 대한...
321	유로 2016	현대·기아차, '유로 2016' 공식차량 전달…제네시스, 싼타페, 쏘렌토 등 875대 지원	[메트로신문 양성운 기자] 현대·기아자동차가 '' 대회 공식 차량 지원을 통해 유럽 시장 인지도 높이기에 나선다. 현대·기아차는 30일(현지시간) 프랑스 생드니 경기장에서 현대차 유럽법인장 김형정 전무...
321	유로 2016	[유로 포커스] 델 보스케의 스페인, '활약도'보다 '팀 균형' 선택	이 자리에서 19명 외 세르히오 라모스, 루카스 바스케스(이상 레알 마드리드), 후안프란, 코케(이상 아틀레티코 마드리드)가 UEFA(유럽축구연맹)  명단에 최종 승선함을 알렸다. 이에 현지에서는 날카로운 질문들이...
321	유로 2016	[스포탈 플러스] '뉴 거너' 샤카 선정 역대 유로 베스트 XI	다음 시즌부터 아스널 소속으로 뛰게 된 미드필더 샤카는 스위스 대표팀의 일원으로 에 참가한다. 샤카가 뽑은 역대 최고의 유로 팀이 알려진 가운데, 어떤 전설들이 이름을 올렸는지 확인하자. <'샤카...
321	유로 2016	[2016 부산모터쇼] 'Q30 사전계약' 인피니티 "젊은 고객층 공략"	부산국제모터쇼에서 이창환 인피니티 코리아 대표가 브리핑을 하고 있는 모습.  인피니티 코리아... 탑재, 앤캡(Euro NCAP)이 실시한 2015 신차 충돌 안전 테스트 결과 최고 점수인 별 다섯 개를 획득했다. 이와...
321	유로 2016	2016 부산국제모터쇼 개막 ‘국내 첫 공개되는 신차 46종 무대에 올라’	부산국제모터쇼가 2일 오전 부산 벡스코에서 렉서스의 프레스 컨퍼런스를 시작으로 화려한 막을... 국내 모터쇼 첫 출전인 만트럭버스코리아는 신형 6(Euro6) 덤프트럭을 세계 최초로 공개하고 아시아 최초로...
321	유로 2016	[오피셜] 크로아티아, 유로 최종 명단 확정...모드리치-라키티치 발탁	[인터풋볼] 정지훈 기자= 에 참가하는 크로아티아 대표팀이 23명의 최종 명단을 발표했다. 예상했던 대로 모드리치, 라키티치, 만주키치 등 크로아티아를 대표하는 선수들이 대거 발탁됐다. 안테 카치치 감독이...
321	유로 2016	[2016 부산모터쇼] 화려한 개막…제네시스 'G80' 등 역대 최대 규모	만트럭버스코리아는 국내 모터쇼에 처음 출전하면서 월드 프리미어로 신형 6(EURO6) 덤프트럭을, 아시아 프리미어로 6 중형카고를 각각 선보였다. 2일 부산 벡스코에서 열린 ' 부산모터쇼' 프레스데이...
321	유로 2016	[유로 D-9] '축구종가' 잉글랜드, 첫 우승 도전...독기 품은 웨일스(B조 분석)	그 이유는 유럽의 월드컵 ''이 프랑스에서 열리기 때문이다. 그래서 준비했다. 축구 전문 언론 '인터풋볼'이 을 더욱 알차게 즐기기 위해 매일 오후 유로에 관련된 이슈와 분석 기사를 제공한다. 이제...
321	유로 2016	독일 스쿼드 7213억-호날두 1471억, 가장 비싼 유로2016 팀-개인	2014 브라질 월드컵에 이어 까지 메이저대회 2연속 제패를 노리는 팀다운 탄탄한 전력이 높게 평가받은 것이. 영국 일간지 데일리메일은 6일(한국시간) 축구 이적 전문 사이트 트랜스퍼마크트의...
322	유로 2016	[A매치] ‘즐라탄 결장’ 스웨덴, 슬로베니아와 0-0 무승부...‘유로 적신호'	을 앞둔 스웨덴 입장에서는 찜찜함이 남는 경기였다. 스웨덴은 31일(한국시간) 오전 스웨덴 말뫼에 위치한 스웨드뱅크 스타디온에서 슬로베니와와 A매치 평가전서 결정력 부재를 절감하며 0-0 무승부를 거뒀다....
322	유로 2016	우리은행, 여름 환전이벤트…달러·유로 등 최대 75% 우대	제공하는  여름 환전이벤트 ‘썸머스토리 환전페스티발’을 실시한다고 1일 밝혔다. 이벤트 기간 동안 환전하는 모든 고객에게 환전 금액에 따라 주요통화(달러, 엔화, )는 최대 75%, 기타통화는 35...
322	유로 2016	[2016 부산모터쇼]제네시스 G80 최초 공개…2일 개막	부산국제모터쇼, 2일부터 11일간 BEXCO서 역대 최대 규모로 열려 국내외 25개 브랜드, 신차 46대 격돌... 국내 모터쇼 첫 출전인 만트럭버스코리아는 월드 프리미어로 신형 6 덤프트럭을, 그리고 아시아...
322	유로 2016	한준희 해설위원 `유로보다는 코파!` [MK포토]	[매경닷컴 MK스포츠(마포구) = 이현지 기자] KBS N Sports, ‘ 코파아메리카’ 기자간담회가 1일... 스포츠 전문 채널 KBS N Sports는 대회 100주년 기념으로 오는 4일부터 27일까지 미국에서 열리는 ‘...
322	유로 2016	[유로 프리미어] ② 이탈리아, 구성의 단점을 전술로 극복할까?	[풋볼리스트] '' 개막 카운트다운이 시작됐다. '풋볼리스트'는 우승후보와 다크호스 10개국을 추려 집중적으로 조명하는 프리뷰를 준비했다. 대회에서 중심적으로 활약할 선수, 팀의 화두 그리고 현지 반응 등을...
322	유로 2016	[유로 아이즈] 슬로바키아 쇼크? 독일의 친선전 바로잡기	일각에선 UEFA(유럽축구연맹)  본선을 앞두고 비상이 걸렸다고 하지만 내부의 시선은 비교적 평온하다. 본선을 앞둔 두 번째 친선전 중 첫 경기고 공수 주축이 빠졌으며 실험적 성격이 짙었다는 이유에서다....
322	유로 2016	[오피셜] 스페인, 한국전 앞두고 유로 2016 최종 19인 명단 공개...미공개 4인 '눈길'	[오피셜] 스페인, 한국전 앞두고  최종 19인 명단 공개...미공개 4인 '눈길'스페인 축구 대표팀이 한국과의 평가전을 앞두고 에 참가할 19인 명단을 사전 공개했다. 비센테 델보스케 스페인 감독이 이끄는...
322	유로 2016	인러, 결국 엔트리 탈락… 스위스, 유로 최종 명단 발표	(베스트 일레븐) 스위스 축구 국가대표팀이 에 출전할 본선 최종 엔트리를 확정했다. 블라디비르 페트코비치 스위스 감독은 31일 새벽(한국시각) 스위스축구협회(ASF-FSV)를 통해 유로에 출전할 최종 엔트리를...
322	유로 2016	유로 두들기는 '율리안 바이글', 95년생 스타의 등장	시즌이 끝난 후 바로  독일 대표팀 예비 명단에까지 포함된 그가 95년생이라는 사실은 믿기지 않는다. 1년간 바이글의 활약을 지켜본 이들은 그가 최종 명단에 포함될 자격이 충분하다고 주장한다. 95년생 수비형...
322	유로 2016	美 국무부, "유로2016 테러공격 표적 위험…유럽여행 주의"	美 국무부, " 테러공격 표적 위험…유럽여행 주의" 브릿지경제 김수환 기자 = 미 국무부가 오는 10일 프랑스 파리에서 열리는 ‘2016년 유럽축구선수권대회()’가 테러공격의 표적이 될 위험이 있다며...
323	유로 2016	[스포탈 플러스] '바르사 MF' 투란 선정 역대 유로 XI... 호날두 포함	오는 6월 프랑스에서 이 열리기 때문. 이에 앞서 터키 대표팀 간판스타인 아르다 투란(29, 바르셀로나)이 터키 매체 ‘터키시 풋볼’을 통해 30일(현지시간) 자신이 뽑은 역대 유로 베스트 일레븐을 공표했다....
323	유로 2016	'또 부상' 스터리지, 英 대표팀 훈련 제외… 유로 적신호	에도 적신호가 켜졌다. 오늘 정밀검사를 받는다"고 전했다. 스터리지는 지난 시즌 막판에 입은 부상으로 지난해 9월 복귀했다. 그러나 이후 세 번의 크고 작은 부상으로 리그 14경기(8골) 출전에 그쳤다....
323	유로 2016	피파온라인3, 유로 2016·코파 아메리카 개막 기념...EC 시즌 패키지 쏜다	피파온라인3, ·코파 아메리카 개막 기념...EC 시즌 패키지 쏜다온라인 게임 피파온라인3(FIFA온라인3)가 , 2016 코파 아케리카의 개막을 기념한 이벤트를 실시한다. 피파온라인3는 2일 홈페이지를...
323	유로 2016	카카오, '유로2016'·'코파아메리카' 전 경기 생중계	다음스포츠 ' & 코파아메리카' 생중계 코너 이미지 [이뉴스투데이 김정우 기자] 카카오(대표 임지훈)가 전 세계 축구팬이 주목하는 ''과 '코파아메리카' 전경기를...
323	유로 2016	블루밍 비데, '2016 상해 주방&욕실 박람회' 전시	나선 ㈜엔씨엠은 년 리모컨 타입 외 프리미엄급 블루밍비데 4모델을 W2관에 위치한 부스에서 공개한다. 부스 전면에는 도기 살균·노즐살균·살균 등 살균기능이 탑재된 신제품 NB-1600 모델과 인체감지형 자동...
323	유로 2016	[유로 D-10] '개최국' 프랑스, 16년 만에 우승 도전...무난한 A조? (A조 분석)	그 이유는 유럽의 월드컵 ''이 프랑스에서 열리기 때문이다. 그래서 준비했다. 축구 전문 언론 '인터풋볼'이 을 더욱 알차게 즐기기 위해 매일 오후 유로에 관련된 이슈와 분석 기사를 제공한다. 이제...
323	유로 2016	바디, 잉글랜드 프로축구 레스터시티와 4년 재계약	시즌이 끝난 뒤 영국축구기자협회 선정 올해의 선수상을 받은 바디는 잉글랜드 국가대표로도 선발돼 현재 프랑스에서 진행 중인 2016 유럽선수권대회()에 출전하고 있다. 프리미어리그 명문팀인 아스널...
323	유로 2016	[유로 FOCUS] 프랑스가 꿈꾸는 '포그바+마튀디'의 조화	개최국 프랑스가 꿈꾸는 완벽한 조합이다. 프랑스는 31일(한국시간) 낭트에 위치한 스타드 드 라 보주아르에서 카메룬과 친선 경기를 갖고 3-2로 신승을 거뒀다. 3골을 기록하는 한편 2골을 내줘 수비 불안 문제를...
323	유로 2016	[유로 프리미어] ① '디펜딩 챔피언' 스페인, 티키타카 아직 유효?	스페인은  예선전에서 3골 밖에 내주지 않았다. 공을 소유하는 것이 최선의 수비라는 점을 다시금 확인했다. 티키타카는 유효했다. 델보스케 감독은 티키타카 만으로 우승할 없다는 것을 오래전에 깨달았다. 역습...
323	유로 2016	푸욜 선정, 역대 유로 베스트 11...‘사비 포함’	이니에스타는 오는  예비 명단에 포함돼 자신의 가치를 입증했다. 과거 바르셀로나에서 함께 뛰었던 인물들도 푸욜의 눈길을 사로잡았다. 티에리 앙리와 다비드 비야가 대표적인 예다. 이들은 한 솥밥을 먹은...
324	유로 2016	'유로 앞둔' 슈바인슈타이거, "난 포기를 모른다"	[= 바스타인 슈바인슈타이거(31)가 UEFA(유럽축구연맹) 을 앞두고 긍정론을 펼쳤다. 맨체스터 유나이티드 구단이 26일(이하 한국 시각) 전한 인터뷰에 따르면 슈바인슈타이거는 "괜찮은 상태다. 스케쥴대로 맞춰...
324	유로 2016	[1보] 검찰, 아우디·폴크스바겐 950대 압수… '유로6' 위법 적발 첫 사례	해당 차종은 6 배출가스 기준이 적용된 년식 아우디 A1과 A3, 폴크스바겐 골프 3종이다. 압수된 950대 중 3분의 1은 배출허용 기준치를 넘어섰고, 나머지 3분의 2는 사전 환경 인증을 받지 않고 우리나라에...
324	유로 2016	[유로 2016] 오스트리아·헝가리 라인업 공개…마르크 얀코 VS 아담 찰라이	[] 오스트리아·헝가리 라인업 공개…마르크 얀코 VS 아담 찰라이 /사진=MBC 중계방송'' 조별예선 F조 1차전 오스트리아·헝가리전의 라인업이 공개됐다. 오스트리아와 헝가리는 15일 새벽 1시(한국시간)...
324	유로 2016	[유로 2016] 독일, 23인 최종 명단 확정...로이스·벨라라비·루디·브란트 '좌절'	[] 독일, 23인 최종 명단 확정...로이스·벨라라비·루디·브란트 '좌절'독일 축구 대표팀이 프랑스에서 개최되는 ''에 참가할 23인 최종 명단을 공개했다. 독일 대표팀을 이끄는 요하임 뢰브 감독은...
324	유로 2016	[유로 프리미어] ⑥ 프랑스, 벤제마-바란 없이도 강한가?	[풋볼리스트] '' 개막 카운트다운이 시작됐다. '풋볼리스트'는 우승후보와 다크호스 10개국을 추려 집중적으로 조명하는 프리뷰를 준비했다. 대회에서 중심적으로 활약할 선수, 팀의 화두 그리고 현지 반응 등을...
324	유로 2016	[A매치 리뷰] '데 브루잉 슈퍼골' 벨기에, 스위스에 2-1 승...유로 청신호	적지에서 승리를 거둔 벨기에는 오는 2일 핀란드, 6일 노르웨이와 친선경기를 치른 뒤,  본선에 돌입한다. [선발 명단] 샤키리-샤카 vs 아자르-데 브루잉 스위스는 4-3-3 포메이션으로 공격에 메흐메디, 데르디요크...
324	유로 2016	[A매치] '맹활약' 즐라탄, 웨일즈에 3-0 완승...'유로 청신호'	[= 스웨덴이 웨일즈를 꺾으며 다가오는  유럽축구 선수권대회 전망을 밝혔다. 스웨덴은 5일 오후 23시(이하 한국시간) 스웨덴 스톡홀름 스타디움에서 열린 A매치 평가전 스웨덴와의 경기에서 즐라탄의 활약에 힘입어 3-0...
324	유로 2016	바디, 레스터시티 잔류…4년 재계약	바디는 현재 잉글랜드 국가대표로 유럽축구선수권대회()에 출전하고 있다. <황민국 기자 stylelomo@kyunghyang.com> ▶ ▶ [스포츠경향 핫&스타포토] [따라해 보세요! 다이어트 영상] 스포츠경향(sports.khan.co.kr)...
324	유로 2016	'유로 2016' 앞둔 스페인, 조지아와의 평가전 라인업 '공개'	사진='' 앞둔 스페인 축구협회 공식 트위터 사진='' 앞둔 스페인 축구협회 공식 트위터 ''을 앞둔 스페인 축구 국가대표팀이 조지아와의 A매치 평가전 선발 라인업을 공개했다. 스페인은 8일...
324	유로 2016	바디 놓친 아스널 벵거 감독 "캉테는 영입하겠다"	벵거 감독은 2016 유럽선수권대회()에서 프랑스 대표팀으로 활약하고 있는 캉테의 플레이에 관해 칭찬하기도 했다. 그는 "캉테가 프랑스 대표팀으로 자격이 있는지 길거리를 지나가는 100명의 사람에게...
325	유로 2016	마르시알, 2015/2016시즌 EPL 올해의 골 영예	한편 올 시즌 최고의 골을 선사한 마르시알은 프랑스 대표팀으로 오는 에 출전할 예정이다. 프랑스는 루마니아, 알바니아, 스위스와 맞붙는다. ☞마르시알 득점장면 보러가기 사진=게티이미지코리아, EPL
325	유로 2016	[부산모터쇼 2016] 인피니티, 브랜드 최초 준중형 CUV ‘Q30’ 사전 계약 돌입	‘부산국제모터쇼 ’에서 프리미엄 크로스오버 차량 ‘Q30’을 소개하고 있다. /사진제공... 탑재해 앤캡이 실시한 ‘2015 신차 충돌 안전 테스트’에서 최고 점수인 별 다섯 개를 획득했다. Q30은 국내...
325	유로 2016	스토크 DF 윌슨, 결국 유로2016 출전 좌절	AFPBBNews = News1 스토크시티 수비수 마크 윌슨(아일랜드)이 결국  출전의 꿈을 접었다. 마틴 오닐 아일랜드 대표팀 감독은 24일(한국시각)  예비명단 발표에서 "윌슨은 앞으로 4~5주 정도 뒤 정상...
325	유로 2016	유로 2016｜伊, ‘피를로·발로텔리 제외’ 30인 예비명단	에선 익숙한 얼굴 안드레아 피를로와 마리오 발로텔리를 볼 수 없다. 사진(브라질 망가라치바)=AFPBBNews=News1 발로텔리와는 다른 이유로 베테랑 미드필더 안드레아 피를로(37·뉴욕시티)도 명단에서 제외했다....
325	유로 2016	[K리그]"황선홍 없는 황선홍 더비"	프랑스에서 2016 유럽축구선수권대회()를 관전 중이다. 황 감독은 오는 29일 성남FC전에서 데뷔전을 치를 예정이다. 객관적인 전력에서 서울이 앞선다. 서울은 정규리그 3경기 무패(2승1무)를 기록 중이다....
325	유로 2016	유로 2016, 파리서 엄중한 관중 보안검색과 함께 무사히 개막...프랑스 승리해 분위기 도움 돼	잉글랜드 훌리건 난동에 최루가스 진압 [AFP=연합뉴스] 개막전 관람객 보안 검사 사진=/연합뉴스아시아투데이 이미현 기자 = 프랑스에서 노동법 개정에 반대하는 대규모 노조 파업과 7개월 전 파리 테러의 우려...
325	유로 2016	[BIMOS 2016] 인피니티 디자인 DNA 품은 프리미엄 크로스오버 'Q30'는 어떤 모습?	인피니티 코리아(대표: 이창환)는 지난 2일  부산국제모터쇼(BIMOS )에서 준중형 프리미엄... 탑재, 앤캡(Euro NCAP)이 실시한 2015 신차 충돌 안전 테스트 결과(New Car Assessment Programme), 최고 점수인 별...
325	유로 2016	[오피셜] ‘유로 첫 출전’ 콜먼, 웨일스 대표팀과 재계약...2년 연장	그러나  예선에서 B조 6팀 중 2위를 차지하며 본선행 티켓을 얻었다. 1958년 이후 첫번째 국제 대회 출전이자 유로 대회 첫 본선 진출이었다. 콜먼 감독도 재계약에 만족감을 표했다. 그는 “이...
325	유로 2016	'의리남' 제이미 바디, 레스터시티에 남는다	시즌이 끝난 뒤 영국축구기자협회 선정 올해의 선수상을 받은 바디는 잉글랜드 국가대표로도 선발돼 현재 프랑스에서 진행 중인 2016 유럽선수권대회()에 출전하고 있다. EPL 아스널의 뜨거운 구애를...
325	유로 2016	이집트 항공 추락… 유로 2016, 정말 괜찮을까?	대회 개막이 채 한 달도 남지 않은 상황임에도 불구하고, 의 안전을 보장할 수 없는 징후가 계속 나타나고 있다. 안방에서 손님을 맞이해야 할 프랑스는 대단히 곤혹스런 표정이다. 지난 19일 이집트 항공 MS...
326	유로 2016	아우디폭스바겐 '유로6' 적용 車도 '집단소송'	2일 법무법인 바른에 따르면 6 기준 EA288 엔진을 장착한 년식 디젤차인 아우디 'A1'과 'A3', 폭스바겐 '골프' 구입 고객을 대리해 가능한 빠른 시일 내에 서울중앙지방법원에 소송자료를 제출할 계획이다. 하종선...
326	유로 2016	[A매치 FOCUS] 독일의 유연성, 슬로바키아의 힘… 치열한 유로 예고	우승 후보와 다크 호스 각자 경쟁력을 증명하며 치열한 을 예고했다. 30일(한국시간) 독일 아우스크부르크의 WWK 아레나에서 친선경기를 가진 슬로바키아가 독일을 3-1로 꺾으며 작은 이변을 만들었다. 두 팀 모두...
326	유로 2016	[오피셜] ‘에반스-맥네어 포함' 북 아일랜드, 유로 2016 예비 명단 발표	[= 북 아일랜드가 에 출전할 28인을 발표했다. 북 아일랜드축구협회는 19일(한국시간) 공식 홈페이지를 통해 에서 활약할 28인을 공개했다. 역사상 최초로 유로 대회에 도전하는 아일랜드의 명단은 발표...
326	유로 2016	제이미 바디, 레스터시티 잔류 확정.. 4년 재계약	현재 바디는 잉글랜드 국가대표로 선발, 프랑스에서 진행 중인 에 출전하고 있다. 레스터시티는 "바디는 에서 잉글랜드의 우승을 위해 노력 중이고, 우리는 그의 활약에 관심을 기울일 것이다"고...
326	유로 2016	'첼시행' 콩테 감독, "지금은 유로2016에 집중할 때"	[인터풋볼] 서재원 기자= 첼시행이 확정된 안토니오 콩테(46) 이탈리아 대표팀 감독이 에 집중하겠다는 뜻을 밝혔다. 콩테 감독은 지난달 첼시와 계약을 체결했다. 하지만 그의 현재 위치는 여전히 이탈리아의...
326	유로 2016	[유로 2016] '호날두·페페 제외' 포르투갈 VS 잉글랜드 예상 선발 라인업 공개	포르투갈과 잉글랜드는 3일 오전 3시 45분(이하 한국시간) 영국 웸블리 스타디움에서 을 대비한 A매치 평가전을 치른다. 축구 통계전문사이트 후스코어드닷컴은 포르투갈과 잉글랜드의 경기에 앞서 예상 선발...
326	유로 2016	유로 2016 알고 보자…스카우팅 리포트 발간	(북카라반 제공)  News1 유럽축구연맹(UEFA) 의 다양한 정보를 담은 스카우팅 리포트가 출간됐다. 세계 축구 팬들의 이목을 집중 시킬  개막이 한 달도 남지 않았다. 이를 앞두고 최근 출간된...
326	유로 2016	케인-바디, EPL 득점 1·3위 위엄 유로 2016으로	[= 에 나설 잉글랜드 대표팀이 공격수 풍년에 웃고 있다. 그 중심에는 잉글랜드 프리미어리그(이하 EPL) 득점왕 해리 케인(23, 토트넘 홋스퍼)과 3위 제이미 바디(29, 레스터 시티)가 있다. 호지슨 감독이 이끄는...
326	유로 2016	2016 유럽축구선수권 10일 개막	유럽축구연맹(UEFA)은 1일(한국시간) 홈페이지를 통해 “에 나서는 24개 참가국이 23명 엔트리를 모두 제출했다. 이번 대회에 나서는 선수는 총 552명”이라고 발표했다. 올해 유럽축구선수권대회()는...
326	유로 2016	[공식 발표] '우승후보' 英, 유로 2016 예비명단 발표...'래쉬포드-윌셔 포함'	[= 유로 우승 도전에 나서는 잉글랜드 대표팀이  출전 명단을 발표했다. 예상대로 웨인 루니(30, 맨체스터 유나이티드) 등 잉글리시 프리미어리그(EPL) 스타 플레이어들이 대거 포함됐다. 잉글랜드의 로이 호지슨...
327	유로 2016	유로 2016, VR(가상현실)로 볼 수 있다	엠블럼. 오는 6월 10일 프랑스에서 개최되는  축구 경기에 VR(가상현실) 촬영 기법이 적용되어, 일부 경기를 360도 영상으로 볼 수 있게 된다. 그동안 일부 리그의 경기에서 실험적으로 360도 영상을...
327	유로 2016	[오피셜] 잉글랜드, 유로 2016 예비 명단 발표...루니-래쉬포드 발탁	[인터풋볼] 정지훈 기자=  우승에 도전하는 축구 종가 잉글랜드 대표팀이 에 출전하는 예비 명단을 발표했다. 예상했던 대로 웨인 루니(30, 맨체스터 유나이티드), 해리 케인(23, 토트넘) 등 잉글리시...
327	유로 2016	유로 2016 때문에...유럽증시 대폭락 2.61% 하락마감, 테러공포에 브렉시트 쇼크까지 뉴욕증시 다우지수 위협, 다음주 한국증시 코스피 코스닥 비상	테러 공포로 유럽증시가 대폭락했다. 영국발 브렉시트 충격도 마침내 가시화되고 있다. 뉴욕증시 다우지수와 다음주 한국증시 코스피 코스닥를 위협하고있다. 표는 영국 런던 증시. 유럽증시가...
327	유로 2016	부폰, “유로 2016 우승 후보? 스페인-독일-프랑스”	[= ‘레전트’ 지안루이지 부폰이  우승 후보를 예측했다. 부폰은 18일(한국시간) 스페인 라디오 ‘카데나 코페’와의 인터뷰에서 “스페인, 독일, 프랑스가 확실한 우승 후보다. 4팀을 꼽자면 벨기에까지 포함할...
327	유로 2016	'8부리그 출신 골잡이' 제이미 바디, 레스터시티 남는다	하지만 바디는 아스널의 제안에 답을 주지 않고  본선에 참가했다. 결국 아스널 이적 대신 레스터시티 잔류를 선택하면서 의리를 지켰다. 레스터시티도 주급을 기존 8만 파운드(약 1억4000만원)에서 10만 파운드...
327	유로 2016	유로2016의 모든 것이 담긴 '유로 스카우팅 리포트2016' 출간	의 모든 것이 담긴 스카우팅 리포트가 나왔다. 다음 달 프랑스에서 개최될 에 맞춰 팬들들 위한 가이드북인 '유로 스카우팅 리포트 2016(출판 북카라반, 가격 2만원)'이 출간됐다. 출전이 예상되는...
327	유로 2016	[부산모터쇼 2016] 폭스바겐 "리콜 통해서 신뢰 회복하겠다"	토마스 쿨 대표는 부산 벡스코에서 열리는 ' 부산국제모터쇼' 현장에서 기자와 만나 이같이 밝혔다.... 또 지난 1일에는 검찰에서 아우디폭스바겐 경기도 평택 PDI센터에 있는 6 기준 폭스바겐 골프, 아우디 A1과 A3...
327	유로 2016	<축구소식> '유로 2016' 스카우팅 리포트 출간	2016 유럽축구선수권대회(이하 )에 참가하는 24개 국가 대표팀을 소개하는 '유로 스카우팅 리포트 2016'이 발간됐다. 6월10일 프랑스에서 개최되는 에 출전할 것으로 예상되는 720명의 선수 소개와...
327	유로 2016	[유로2016]크로아 예비명단 발표, 로브렌 제외	AFPBBNews = News1 크로아티아가 최정예 멤버로 에 도전장을 내민다. 크로아티아축구협회는 17일(한국시각) 내달부터 프랑스에서 개막될 에 출전할 27명의 예비명단을 발표했다. 안테 차치치 크로아티아...
327	유로 2016	'마법사' 외질, 유로 끝난 후 아스널과 재계약 협상 (英스카이스포츠)	[인터풋볼] 정지훈 기자= 아스널의 올해의 선수로 선정된 '마법사' 메수트 외질(28)이 을 마친 후 아스널과 재계약 협상에 들어간다. 외질의 전성시대다. 외질은 이번 시즌 45경기에 출전해 8골 20도움을 쌓으며...
328	유로 2016	'스카우팅 리포트' 한 권이면, 당신도 '유로2016' 박사!	[풋볼리스트] 문슬기 기자= '유럽축구연맹(UEFA) '의 모든 것이 담긴 스카우팅 리포트가 나왔다. 총 24개국, 720명의 선수 정보가 책 한 권에 들어있다. ''은 오는 6월 10일(이하 현지 기준)부터 7월...
328	유로 2016	'마법사' 외질, 유로 끝난 후 아스널과 재계약 협상 (英스카이스포츠)	[인터풋볼] 정지훈 기자= 아스널의 올해의 선수로 선정된 '마법사' 메수트 외질(28)이 을 마친 후 아스널과 재계약 협상에 들어간다. 외질의 전성시대다. 외질은 이번 시즌 45경기에 출전해 8골 20도움을 쌓으며...
328	유로 2016	'유로 스카우팅 리포트 2016' 출간	UEFA  개막이 한 달여 앞으로 다가왔다. 1960년 시작된 이 대회는 월드컵 다음으로 인기가 높다. 2016년 6월 10일 프랑스와 루마니아의 개막전, 7월 10일 결승전이 열리는 생드니 경기장은 벌써부터 세계...
328	유로 2016	유로2016 강자들 예열 완료, 독일-프랑스 마지막 안방 평가전 완승	[스포츠Q(큐) 강언구 기자] 유럽축구선수권()  개최국 프랑스가 스코틀랜드를 완파하고 4연승을 달렸다. 독일은 헝가리를 잡고 1년만에 무실점 승리를 거뒀다. 프랑스는 5일(한국시간) 프랑스 메스의 세인트...
328	유로 2016	‘또 하나의 월드컵’ 유로 2016 ‘기대 반 우려 반’	유럽축구 국가대항전 개막 D-30  개막전과 결승전이 열릴 스타드 드 프랑스의 전경. 유럽축구연맹 홈페이지 유럽축구선수권()  개막이 한 달 앞으로 다가왔지만 개최국 프랑스는 여전히 테러와 전쟁...
328	유로 2016	‘유로 2016ㆍ브라질 올림픽’ …치맥의 계절이 왔다? 수혜주는	글로벌 스포츠 이벤트인 과 8월 브라질 올림픽을 앞드고 음식료업종 수혜기 기대된다는 분석이 나왔다. 한대훈 SK증권 연구원은 “국내 대표적 맥주업체인 하이트진로는 올림픽, 월드컵 등 스포츠 이벤트...
328	유로 2016	칼스버그, '유로 2016 공식 맥주 선정' 기념 이벤트	공식 엠블럼 새겨진 고급 전용잔 받을 수 있어 [칼스버그는 오는 6월30일까지  기간 중 인터내셔널 프리미엄 뷔페 레스토랑 토다이와 함께  기념 ‘칼스버그 X 토다이 고객 선물 증정’...
328	유로 2016	[오피셜] '램지-앨런 포함' 웨일스, 유로 2016 예비 명단 발표...'베일은 차후 합류'	[= 유로 첫 출전에 나서는 웨일스가 포르투갈 트레이닝 캠프에 참가할  예비 명단을 발표했다. 예상대로 아론 램지(아스널) 등 스타 플레이어들이 나섰다. 챔피언스리그 결승전을 앞둔 가레스 베일은 일단...
